days_active,avg_gem,avg_gold
60,605.30287604041587,6418.821529429275
59,632.30455392065141,5282.38409387231
58,13043.154899657093,19007.271398789064
57,1039.6130249431658,4343.6612198351368
56,1083.5701319157374,6001.0032250442455
55,767.1206537986634,4875.74346309656
54,1777.1640385810369,6061.8042747634781
53,4679.2160097631731,6514.7097528217355
52,767.10227626280107,8785.2046618398253
51,1344.0876795421632,4246.1519570256587
50,916.76781672952336,6858.8296982471329
49,1537.5679874902473,6231.488527472884
48,1169.2492153309975,6128.0934689894339
47,2253.3264726912889,7218.2774209370027
46,1211.0472682816339,6344.9330897554737
45,4718.975982385673,7942.5369126103715
44,1382.6813991033057,9973.0097411689458
43,638.29160758699754,11813.453112046254
42,2459.7340565905492,15883.858181383239
41,4111.0376627186261,784821258.12825072
40,1464.8245063198779,9516.2532757067584
39,1069.1308260957107,6768.6593753838224
38,1030.6046845405467,23999.866156307555
37,15677.865349380931,28398.960782303464
36,730.67104497901812,5788.4858665414622
35,1387.690384416157,5656.3459665657592
34,3338.4246915363583,8050.0002594489788
33,10212.606569495478,11338.192494706182
32,1004.9986628671741,4968.69084100541
31,2297.2691830969516,7454.5286835722627
30,1861.3457124218673,10483.540581367364
29,1293.0475278649274,5148.969006100986
28,2575.4715169719925,7124.2123957171316
27,19497.066741869818,24635.898143244645
26,12079.760454126092,19492.036816484204
25,2988.6793897229995,9981.7328626010876
24,7533.1679605500512,12525.173466154267
23,1957.1477064220417,9894.3705238862331
22,1769.5950222979843,7851.7463959236993
21,27541.312249656839,23760.55466931194
20,1276.8173227911548,16649.107279806132
19,10228.97440792071,20630.219258831854
18,6439.810875667712,8763.4859786076358
17,3505.8927412117064,18832.945338140496
16,61311.3746401414,8086.4839469677236
15,8160.8081022070965,135631.76236997594
14,223560.989134995,29193.575296785621
13,3316.2756524222164,13300.858972286773
12,17801.974855301789,20121.360344836256
11,11327.823847717313,9470.2957663305351
10,9777.1691145222321,53640.72516164308
9,88025.868744578314,54976.627680077392
8,4777.3510643740483,8693686.1162971072
7,29425.785171603708,48220.5972919985
6,-143947.19098227643,130826.10433120662
5,23175.033208855562,50950.040934490346
4,31761.974713089225,35617.572684549807
3,345794.89976572158,180632.99466426022
2,-241172.44568087213,932184.55270569841
1,134972.29531105774,123154.49558893216
0,68159.862255356071,-60702.349407339032